 n_tracks  m_inv_GeV  N_e  N_mu  N_K  N_p
        2   2.561326    0     0    0    1
        2   2.547682    0     0    0    0
        2   2.344094    0     0    0    1
        2   2.507558    0     0    0    0
        2   2.514545    0     0    0    1
        2   2.564824    0     0    0    0
        2   2.515402    0     0    0    0
        2   2.507013    0     0    0    0
        2   2.498689    0     0    0    0
        2   2.552172    0     0    0    0
        2   2.549856    0     0    0    1
        2   2.469297    0     0    0    0
        2   2.374064    0     0    0    1
        2   2.504714    0     0    0    0
        2   2.543844    0     0    0    0
        2   2.601209    0     0    0    2
        2   2.320601    1     0    0    1
        2   2.357203    0     0    0    2
        2   2.406394    0     0    0    1
        2   2.463432    0     0    0    1
        2   2.520791    0     0    0    1
        2   2.464128    0     0    0    2
        2   2.512734    0     0    0    1
        2   2.534238    0     0    0    2
        2   2.507940    0     0    0    2
        2   2.484522    0     0    0    2
        2   2.365430    0     0    0    1
        2   2.512129    0     0    0    0
        2   2.545038    0     0    0    1
        2   2.541962    0     0    0    0
        2   2.536194    0     0    0    2
        2   2.383150    0     0    0    0
        2   2.461308    0     0    0    1
        2   2.349386    0     0    0    1
        2   2.520170    0     0    0    1
        2   2.618228    0     0    0    0
        2   2.550906    0     0    0    1
        2   2.426557    0     0    0    1
        2   2.453985    0     0    0    0
        2   2.398928    0     0    0    1
        2   2.464756    0     0    0    0
        2   2.483208    0     0    0    0
        2   2.475956    0     0    0    0
        2   2.426480    0     0    0    2
        2   2.478829    0     0    0    1
        2   2.510549    0     0    0    0
        2   2.527249    0     0    0    1
        2   2.470096    0     0    0    1
        2   2.599481    0     0    0    1
        2   2.524893    0     0    0    0
        2   2.465864    0     0    0    0
        2   2.467434    0     0    0    0
        2   2.412194    0     0    0    0
        2   2.412686    0     0    0    1
        2   2.481488    0     0    0    0
        2   2.404721    0     0    0    0
        2   2.482981    0     0    0    1
        2   2.435431    0     0    0    1
        2   2.462782    0     0    0    1
        2   2.394402    0     0    0    1
        2   2.478220    0     0    0    0
        2   2.386662    0     0    0    0
        2   2.442581    0     0    0    1
        2   2.527473    0     0    0    1
        2   2.491102    0     0    0    1
        2   2.504919    0     0    0    0
        2   2.443913    0     0    0    0
        2   2.322575    0     0    0    0
        2   2.555122    0     0    0    2
        2   2.429078    0     0    0    1
        2   2.486189    0     0    0    2
        2   2.381585    0     0    0    1
        2   2.538804    0     0    0    1
        2   2.529304    0     0    0    1
        2   2.353898    0     0    0    1
        2   2.369897    0     0    0    1
        2   2.539423    0     0    0    2
        2   2.470787    0     0    0    2
        2   2.489848    0     0    0    1
        2   2.409690    0     0    0    1
        2   2.462888    0     0    0    1
        2   2.496817    0     0    0    1
        2   2.526995    0     0    0    0
        2   2.586307    0     0    0    1
        2   2.454599    0     0    0    0
        2   2.574827    0     0    0    0
        2   2.415452    0     0    0    1
        2   2.426521    0     0    0    1
        2   2.435240    0     0    0    0
        2   2.558132    0     0    0    0
        2   2.394920    0     0    0    0
        2   2.491837    0     0    0    1
        2   2.420631    0     0    0    1
